Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
Eugowra,R07 - GPM,2806,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
(No Suburb Listed),R07 - GPM,2810,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Caragabal,R07 - GPM,2810,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Geurie,R07 - GPM,2818,NSW,GO,1 in 3,Very Low (<10),0,1,1,0,1,3,33.30%,33.30%,33.30%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
(No Suburb Listed),R07 - GPM,2820,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Gilgandra,R07 - GPM,2827,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Brocklehurst,R07 - GPM,2830,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Minore,R07 - GPM,2830,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Toongi,R07 - GPM,2830,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Bourke,R07 - GPM,2840,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Rylstone,R07 - GPM,2849,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Peak Hill,R07 - GPM,2869,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Parkes,R07 - GPM,2870,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Forbes,R07 - GPM,2871,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
(No Suburb Listed),R07 - GPM,2875,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Sunset Strip,R07 - GPM,2879,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Warwick,R05 - WST,2886,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Westerly,R07 - GPM,2891,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Gungahlin,R07 - GPM,2912,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Ngunnawal,R07 - GPM,2913,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Nicholls,R07 - GPM,2913,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Palmerston,R07 - GPM,2913,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Harrison,R07 - GPM,2914,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Melbourne,R07 - GPM,3000,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Seabrook,R07 - GPM,3028,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Taylors Hill,R07 - GPM,3037,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Glenroy,R07 - GPM,3046,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Coburg,R07 - GPM,3058,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Nashua,R07 - GPM,3060,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Reservoir,R07 - GPM,3073,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Epping,R07 - GPM,3076,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kew,R07 - GPM,3101,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Deepdene,R07 - GPM,3103,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R07 - GPM,3121,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Mitcham,R07 - GPM,3132,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Malvern East,R07 - GPM,3145,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Glen Waverley,R07 - GPM,3150,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Belgrave,R07 - GPM,3160,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Balaclava,R07 - GPM,3183,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Frankston,R07 - GPM,3199,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R07 - GPM,3224,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Dadswells Bridge,R01 - BGCI,3385,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Castlemaine,R01 - BGCI,3450,VIC,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Porcupine Ridge,R01 - BGCI,3461,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Carisbrook,R01 - BGCI,3464,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Irymple,R01 - BGCI,3498,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Koorlong,R01 - BGCI,3501,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Leichardt,R01 - BGCI,3516,VIC,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Long Gully,R01 - BGCI,3550,VIC,UNPROVEN,No Claims,Very Low (<10),1,1,0,0,0,2,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kennington,R01 - BGCI,3550,VIC,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Quarry Hill,R01 - BGCI,3550,VIC,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Strathdale,R01 - BGCI,3550,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
White Hills,R01 - BGCI,3550,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Huntly,R01 - BGCI,3551,VIC,UNPROVEN,No Claims,Very Low (<10),3,0,0,0,0,3,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Ascot,R01 - BGCI,3551,VIC,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Axedale,R01 - BGCI,3551,VIC,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Maiden Gully,R01 - BGCI,3551,VIC,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Strathfieldsaye,R01 - BGCI,3551,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Wellsford,R01 - BGCI,3551,VIC,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
California Gully,R01 - BGCI,3556,VIC,UNPROVEN,No Claims,Very Low (<10),1,1,0,0,0,2,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Sailors Gully,R01 - BGCI,3556,VIC,UNPROVEN,No Claims,Very Low (<10),2,0,0,0,0,2,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Woodvale,R01 - BGCI,3556,VIC,UNPROVEN,No Claims,Very Low (<10),1,1,0,0,0,2,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Eaglehawk North,R01 - BGCI,3556,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Myers Flat,R01 - BGCI,3556,VIC,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Invergordon,R01 - BGCI,3636,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R01 - BGCI,3691,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Baranduda,R01 - BGCI,3691,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Wilby,R01 - BGCI,3728,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Dixons Creek,R01 - BGCI,3775,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Drouin,R01 - BGCI,3818,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Mallacoota,R01 - BGCI,3892,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Somerville,R01 - BGCI,3912,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Main Ridge,R01 - BGCI,3928,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Mount Eliza,R01 - BGCI,3930,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Mount Martha,R01 - BGCI,3934,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Red Hill,R01 - BGCI,3937,VIC,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R01 - BGCI,4000,QLD,UNPROVEN,No Claims,Very Low (<10),0,3,0,0,0,3,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Petrie Terrace,R01 - BGCI,4000,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
New Farm,R01 - BGCI,4005,QLD,GO,1 in 3,Very Low (<10),0,2,0,0,1,3,33.30%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Teneriffe,R01 - BGCI,4005,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Ascot,R01 - BGCI,4007,QLD,GO,1 in 4,Very Low (<10),0,3,0,0,1,4,25.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Pinkenba,R01 - BGCI,4008,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,1,0,0,1,0.00%,100.00%,100.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Albion,R01 - BGCI,4010,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Hendra,R01 - BGCI,4011,QLD,GO,1 in 2,Very Low (<10),0,1,0,0,1,2,50.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Virginia,R01 - BGCI,4012,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Wavell Heights,R01 - BGCI,4012,QLD,UNPROVEN,No Claims,Very Low (<10),0,4,0,0,0,4,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Nundah,R01 - BGCI,4012,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Banyo,R01 - BGCI,4014,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Sandgate,R01 - BGCI,4017,QLD,UNPROVEN,No Claims,Very Low (<10),1,2,0,0,0,3,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R01 - BGCI,4017,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Bracken Ridge,R01 - BGCI,4017,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Deagon,R01 - BGCI,4017,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Taigum,R01 - BGCI,4018,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Clontarf,R01 - BGCI,4019,QLD,GO,1 in 4,Very Low (<10),0,3,0,0,1,4,25.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Margate,R01 - BGCI,4019,QLD,GO,1 in 3,Very Low (<10),0,2,0,0,1,3,33.30%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Woody Point,R01 - BGCI,4019,QLD,ON THE FENCE,No Claims,Very Low (<10),0,3,1,0,0,4,0.00%,25.00%,25.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Scarborough,R01 - BGCI,4020,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Redcliffe,R01 - BGCI,4020,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,0,2,0,2,0.00%,100.00%,0.00%,100.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Kippa-Ring,R01 - BGCI,4021,QLD,GO,1 in 2,Very Low (<10),0,0,0,1,1,2,50.00%,50.00%,0.00%,50.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Redcliffe,R01 - BGCI,4021,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,1,0,0,1,0.00%,100.00%,100.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Rothwell,R01 - BGCI,4022,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Windsor,R01 - BGCI,4030,QLD,GO,1 in 2,Very Low (<10),0,1,0,1,2,4,50.00%,25.00%,0.00%,25.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Wooloowin,R01 - BGCI,4030,QLD,GO,1 in 2,Very Low (<10),0,0,1,0,1,2,50.00%,50.00%,50.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Lutwyche,R01 - BGCI,4030,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Kedron,R01 - BGCI,4031,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Chermside West,R01 - BGCI,4032,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,0,1,0,2,0.00%,50.00%,0.00%,50.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Aspley,R01 - BGCI,4034,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Carseldine,R01 - BGCI,4034,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Geebung,R01 - BGCI,4034,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Zillmere,R01 - BGCI,4034,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,1,1,0,3,0.00%,66.70%,33.30%,33.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Boondall,R01 - BGCI,4034,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Albany Creek,R01 - BGCI,4035,QLD,UNPROVEN,No Claims,Very Low (<10),0,3,0,0,0,3,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Bridgeman Downs,R01 - BGCI,4035,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,0,2,0,3,0.00%,66.70%,0.00%,66.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Eatons Hill,R01 - BGCI,4037,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Newmarket,R01 - BGCI,4051,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Enoggera,R01 - BGCI,4051,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Grange,R01 - BGCI,4051,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Everton Park,R01 - BGCI,4053,QLD,UNPROVEN,No Claims,Very Low (<10),0,4,0,0,0,4,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
McDowall,R01 - BGCI,4053,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R01 - BGCI,4053,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Mitchelton,R01 - BGCI,4053,QLD,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Stafford Heights,R01 - BGCI,4053,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Stafford,R01 - BGCI,4053,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,0,1,0,2,0.00%,50.00%,0.00%,50.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
